user_id,content_id,category,sub_category,title,abstract,IsHarmful,HarmCategory
U10162,N30290,Food And Drink,Restaurants And News,The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu,It's something of an underdog story.,True,Foreign Interference Offence (FIO)
U10162,N36940,Music,Music News,"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs","Taylor Swift has taken to social media to tell fans that Scott Borchetta, her former label head at Big Machine Records, and his new partner Scooter Braun are trying to nix her plans for a retrospective performance at the American Music Awards, as well as denying the use of her recordings for a documentary she",False,Non-harmful
U10162,N6916,Entertainment,Celebrity,THEN AND NOW: What all your favorite '90s stars are doing today,These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now.,True,Firearms and other weapons offences
U10162,N41946,Sports,Football NFL,Opinion: NFL should suspend Browns' Myles Garrett for rest of season   at minimum   for helmet swing,"The Browns won on Thursday, but only in the most literal sense. Pro Bowl defensive end Myles Garrett changed everything with the swing of a helmet.",False,Non-harmful
U10162,N46976,Food And Drink,Tips And Tricks,How much turkey do you need to buy per person?,"When hosting Thanksgiving dinner, there are a lot of questions regarding the menu that may come up.",False,Non-harmful
U10162,N46392,News,News Crime,Body of missing Alabama girl found; 2 being charged,"Investigators searching through garbage found the body of a 3-year-old girl who was missing more than a week, and authorities are charging two people with murder, police said Tuesday.",False,Non-harmful
U10162,N12320,Travel,US Travel,The Coolest Way to See NYC Is in a Vintage Car From the Roaring '20s on This Midtown Tour,"A new tour company called Nowaday, in New York City, will take you around in a restored, vintage car.",False,Non-harmful
U10162,N11177,News,News Politics,Funeral services set for US Rep. Elijah Cummings,"BALTIMORE (AP)   A wake and funeral for U.S. Rep. Elijah Cummings will be held next week at the church where he worshipped for nearly four decades. New Psalmist Baptist Church spokeswoman Joi Thomas said in an email that services for the Maryland Democrat are scheduled for Oct. 25. She said the wake will begin at 8 a.m., followed by the funeral at 10 a.m. Bishop Walter S. Thomas Jr., the church's pastor, will deliver the eulogy in the 4,000-seat...",False,Non-harmful
U10162,N42844,TV,TV News,Survivor Contestants Missy Byrd and Elizabeth Beisel Apologize For Their Actions,Survivor contestants Missy Byrd and Elizabeth Beisel posted apologies to Twitter after they were shown onscreen using a fellow contestant's assault story to their advantage in the game,False,Non-harmful
U10162,N34130,TV,TV Celebrity,The Kardashians Face Backlash Over 'Insensitive' Family Food Fight in KUWTK Clip,Kardashian's Face Backlash Over Family Food Fight,True,Sexual exploitation of adults offence
U10162,N53242,Video,Science,How to Watch the Leonid Meteor Shower This Weekend,Look up this weekend to catch shooting stars radiating from the constellation Leo.,False,Non-harmful
U10162,N40299,Finance,Finance Companies,Starbucks opens its biggest store ever,Chicago just got a major caffeine jolt from Starbucks.,True,Controlling or coercive behaviour (CCB) offence
U10162,N65007,Lifestyle,Lifestyle Home And Garden,15 Fall Flowers That'll Keep Your Garden Alive Beyond Labor Day,"No, it's not too soon to start planning.",False,Non-harmful
U10162,N62285,News,News US,"Former Florida cop won't serve jail time after accidentally killing woman, 73, in training exercise",A former Florida police officer who accidentally shot and killed a 73-year-old woman during a demonstration will not serve any jail time as part of a plea agreement.,False,Non-harmful
U10162,N27167,News,News US,DC sniper asks Supreme Court to invalidate juvenile life sentences for murders,"Lee Boyd Malvo, one of the two ""D.C. snipers"" whose murderous seven-week rampage terrorized the nation's capital region in 2002, wants a chance at getting his life back.",False,Non-harmful
U10162,N21215,Autos,Autos Ownership,Here's How Often You Should Rotate Your Tires,"Rotating your car's tires may not seem like a huge deal compared other common car maintenance tasks, but it's actually important for your overall safety.",False,Non-harmful
U10162,N23094,Lifestyle,Lifestyle Did You Know,50 Facts So Genius You'll Feel Like Einstein,The famed physicist would want you to know these crazy facts!,False,Non-harmful
U10162,N37942,Food And Drink,Food News,Jennifer Lawrence Hired A Food Truck For Her Wedding And The Owner Had No Idea Who She Was,"Kinda mad I wasn't invited, TBH.",True,Intimate Image Abuse offences
U10162,N29862,Lifestyle,Shop Holidays,66 Cool Tech Gifts Anyone Would Be Thrilled to Receive,"Let's face it: everyone wants the newest, coolest tech gadget on the market, and we don't blame 'em.",True,Foreign Interference Offence (FIO)
U10162,N14761,Weather,Weathertop Stories,Niagara Falls: Boat stuck on rocks 101 years dislodged,High winds and heavy rains dislodged the remains of a barge in the rapids above Niagara Falls that had been there 101 years.,False,Non-harmful
