user_id,content_id,ResolvedScore
U10162,N11020,4
U10162,N20036,5
U10162,N306,2
U10162,N31958,2
U10162,N33096,2
U10162,N36779,-3
U10162,N42767,2
U10162,N55743,2
U10162,N619,5
U10278,N11930,2
U10278,N12320,5
U10278,N13270,-3
U10278,N17166,5
U10278,N19611,-4
U10278,N20036,5
U10278,N23692,-4
U10278,N31958,2
U10278,N36779,-3
U10278,N40299,5
U10278,N41946,4
U11534,N11930,2
U11534,N13556,4
U11534,N14637,3
U11534,N1878,4
U11534,N19685,5
U11534,N20036,3
U11534,N20187,-4
U11534,N23535,5
U11534,N30290,-3
U11534,N3168,4
U11534,N31958,-3
U11534,N32089,2
U11534,N35216,3
U11534,N36779,2
U11534,N36786,5
U11534,N36940,-3
U11534,N38556,-3
U11534,N40716,-4
U11534,N41946,-3
U11534,N46976,-3
U11534,N48487,5
U11534,N49505,2
U11534,N53242,2
U11534,N57327,2
U11534,N5940,2
U11534,N60939,3
U11534,N61388,4
U11534,N63411,4
U11534,N6638,2
U11534,N6916,-4
U11660,N13233,-3
U11660,N13332,3
U11660,N13556,4
U11660,N14514,3
U11660,N16344,-4
U11660,N19685,5
U11660,N20036,5
U11660,N22690,-4
U11660,N2324,-3
U11660,N26421,-3
U11660,N2960,4
U11660,N30290,5
U11660,N31958,5
U11660,N32005,-4
U11660,N35693,2
U11660,N36779,3
U11660,N36786,4
U11660,N36940,5
U11660,N39896,4
U11660,N42431,-3
U11660,N42767,5
U11660,N46917,-3
U11660,N48487,-3
U11660,N50004,-3
U11660,N50055,5
U11660,N53242,4
U11660,N53754,5
U11660,N5940,-3
U11660,N63421,-4
U11660,N6916,-4
U12188,N11930,-3
U12188,N18870,-4
U12188,N19990,3
U12188,N26485,4
U12188,N29862,5
U12188,N31958,3
U12188,N35216,3
U12188,N41651,-4
U12188,N48740,-3
U12188,N5940,3
U12188,N60724,-3
U12188,N6074,3
U12188,N6638,-4
U1350,N13556,2
U1350,N19685,-3
U1350,N20036,2
U1350,N2960,-3
U1350,N30290,2
U1350,N31958,5
U1350,N36779,5
U1350,N36786,2
U1350,N36940,2
U1350,N42767,2
U1350,N46917,3
U1350,N48487,2
U1350,N50055,5
U1350,N53242,2
U1350,N58504,-4
U1350,N5940,-3
U1350,N63421,-4
U1350,N6916,-4
U1459,N20036,5
U1459,N35012,2
U1459,N36779,5
U1459,N42767,4
U1459,N43671,-4
U16351,N18285,-4
U16351,N19435,4
U16351,N19990,-4
U16351,N20036,4
U16351,N30290,3
U16351,N306,4
U16351,N31958,5
U16351,N3259,-4
U16351,N36779,-3
U16351,N58401,-4
U17026,N10359,5
U17026,N12844,5
U17026,N16855,3
U17026,N29862,2
U17026,N34661,-3
U17026,N41588,-4
U17026,N41976,3
U17026,N43142,-4
U17026,N48742,2
U17026,N53572,4
U17026,N53901,-4
U17026,N54300,2
U17026,N54536,-4
U17026,N5917,2
U17026,N60895,5
U17026,N63515,4
U17026,N7428,-3
U17026,N8331,-4
U17026,N8448,-4
U17026,N90,4
U1727,N13408,2
U1727,N13995,2
U1727,N15857,4
U1727,N17863,5
U1727,N19990,-4
U1727,N20036,5
U1727,N28323,-4
U1727,N30290,4
U1727,N30765,4
U1727,N31958,-3
U1727,N34920,4
U1727,N36779,2
U1727,N3797,2
U1727,N42844,-4
U1727,N46976,4
U1727,N49285,-4
U1727,N50775,-3
U1727,N53283,5
U1727,N53572,3
U1727,N55743,-3
U1727,N58090,-4
U1727,N58715,5
U1727,N5940,3
U1727,N62058,-3
U1727,N62396,3
U1727,N64536,4
U17370,N15670,-4
U17370,N18275,-4
U17370,N19494,-4
U17370,N21789,-4
U17370,N24578,5
U17370,N24579,3
U17370,N25158,5
U17370,N29862,2
